date,sales
2013-09-19,98
2013-09-20,978
2013-09-21,398
2013-09-22,977
2013-09-23,198
2013-09-24,976
2013-09-25,567
2013-09-26,978
2013-09-27,437
2013-09-28,756
2013-09-29,979
2013-09-30,79
2013-10-01,979
2013-10-02,1000
2013-10-03,832
2013-10-04,1000
2013-10-05,48
2013-10-06,998
2013-10-07,63
2013-10-08,999
2013-10-09,30
2013-10-10,45
2013-10-11,1000
2013-10-12,10
2013-10-13,998
2013-10-14,49
2013-10-15,998
2013-10-16,876
2013-10-17,56
2013-10-18,1000
2013-10-19,898
2013-10-20,765
2013-10-21,832
2013-10-22,76
2013-10-23,845
2013-10-24,89
2013-10-25,750
2013-10-26,54
2013-10-27,1000
2013-10-28,57
2013-10-29,1000
2013-10-30,34
2013-10-31,1001
2013-11-01,56
2013-11-02,1112
2013-11-03,810
2013-11-04,76
2013-11-05,780
2013-11-06,34
2013-11-07,740
2013-11-08,87
2013-11-09,810
2013-11-10,45
2013-11-11,960
2013-11-12,78
2013-11-13,1001
2013-11-14,453
2013-11-15,879
2013-11-16,78
2013-11-17,890
2013-11-18,45
2013-11-19,920
2013-11-20,78
2013-11-21,897
2013-11-22,1110
2013-11-23,34
2013-11-24,1112
2013-11-25,910
2013-11-26,46
2013-11-27,954
2013-11-28,1111
2013-11-29,76
2013-11-30,1112
2013-12-01,879
2013-12-02,9
2013-12-03,920
2013-12-04,1099
2013-12-05,34
2013-12-06,1099
2013-12-07,67
2013-12-08,1100
2013-12-09,873
2013-12-10,34
2013-12-11,730
2013-12-12,1100
2013-12-13,76
2013-12-14,1100
2013-12-15,56
2013-12-16,1099
2013-12-17,34
2013-12-18,1100
2013-12-19,76
2013-12-20,1098
2013-12-21,354
2013-12-22,1098
2013-12-23,87
2013-12-24,1099
2013-12-25,54
2013-12-26,1100
2013-12-27,23
2013-12-28,1099
2013-12-29,640
2013-12-30,98
2013-12-31,670
2014-01-01,54
2014-01-02,790
2014-01-03,243
2014-01-04,730
2014-01-05,87
2014-01-06,810
2014-01-07,1144
2014-01-08,43
2014-01-09,1145
2014-01-10,87
2014-01-11,1145
2014-01-12,820
2014-01-13,34
2014-01-14,910
2014-01-15,78
2014-01-16,730
2014-01-17,4
2014-01-18,780
2014-01-19,1145
2014-01-20,7
2014-01-21,1144
2014-01-22,34
2014-01-23,1145
2014-01-24,68
2014-01-25,1144
2014-01-26,720
2014-01-27,34
2014-01-28,680
2014-01-29,1145
2014-01-30,690
2014-01-31,98
2014-02-01,940
2014-02-02,65
2014-02-03,930
2014-02-04,1201
2014-02-05,910
2014-02-06,65
2014-02-07,830
2014-02-08,1200
2014-02-09,76
2014-02-10,1201
2014-02-11,98
2014-02-12,1202
2014-02-13,34
2014-02-14,1201
2014-02-15,87
2014-02-16,1200
2014-02-17,98
2014-02-18,1202
2014-02-19,870
2014-02-20,45
2014-02-21,780
2014-02-22,1201
2014-02-23,23
2014-02-24,1202
2014-02-25,76
2014-02-26,1202
2014-02-27,980
2014-02-28,98
2014-03-01,920
2014-03-02,1200
2014-03-03,45
2014-03-04,1200
2014-03-05,879
2014-03-06,89
2014-03-07,983
2014-03-08,1200
2014-03-09,45
2014-03-10,1201
2014-03-11,76
2014-03-12,1202
2014-03-13,2679
2014-03-14,1201
2014-03-15,985
2014-03-16,1200
2014-03-17,654
2014-03-18,1202
2014-03-19,24
2014-03-20,1202
2014-03-21,867
2014-03-22,1201
2014-03-23,890
2014-03-24,346
2014-03-25,876
2014-03-26,1202
2014-03-27,24
2014-03-28,1200
2014-03-29,999
2014-03-30,987
2014-03-31,987
2014-04-01,34
2014-04-02,1200
2014-04-03,43
2014-04-04,678
2014-04-05,1301
2014-04-06,434
2014-04-07,1301
2014-04-08,970
2014-04-09,87
2014-04-10,890
2014-04-11,43
2014-04-12,1100
2014-04-13,1301
2014-04-14,1298
2014-04-15,988
2014-04-16,980
2014-04-17,1301
2014-04-18,545
2014-04-19,1300
2014-04-20,90
2014-04-21,1300
2014-04-22,45
2014-04-23,1301
2014-04-24,25
2014-04-25,1302
2014-04-26,987
2014-04-27,98
2014-04-28,945
2014-04-29,45
2014-04-30,945
2014-05-01,98
2014-05-02,1200
2014-05-03,345
2014-05-04,1005
2014-05-05,1489
2014-05-06,97
2014-05-07,1501
2014-05-08,1200
2014-05-09,656
2014-05-10,1100
2014-05-11,57
2014-05-12,1200
2014-05-13,1489
2014-05-14,898
2014-05-15,1501
2014-05-16,897
2014-05-17,436
2014-05-18,908
2014-05-19,1500
2014-05-20,97
2014-05-21,1489
2014-05-22,887
2014-05-23,1501
2014-05-24,1209
2014-05-25,34
2014-05-26,1207
2014-05-27,1500
2014-05-28,435
2014-05-29,1489
2014-05-30,32
2014-05-31,1501
2014-06-01,76
2014-06-02,1689
2014-06-03,897
2014-06-04,435
2014-06-05,876
2014-06-06,76
2014-06-07,876
2014-06-08,34
2014-06-09,899
2014-06-10,1690
2014-06-11,87
2014-06-12,1689
2014-06-13,34
2014-06-14,1690
2014-06-15,686
2014-06-16,1690
2014-06-17,90
2014-06-18,1689
2014-06-19,45
2014-06-20,1689
2014-06-21,78
2014-06-22,45
2014-06-23,654
2014-06-24,1689
2014-06-25,86
2014-06-26,1689
2014-06-27,45
2014-06-28,1690
2014-06-29,86
2014-06-30,1691
2014-07-01,45
2014-07-02,1689
2014-07-03,896
2014-07-04,1691
2014-07-05,345
2014-07-06,75
2014-07-07,1689
2014-07-08,34
2014-07-09,1690
2014-07-10,987
2014-07-11,1689
2014-07-12,1689
2014-07-13,36
2014-07-14,1690
2014-07-15,345
2014-07-16,1690
2014-07-17,1691
2014-07-18,567
2014-07-19,1689
2014-07-20,87
2014-07-21,1690
2014-07-22,1690
2014-07-23,346
2014-07-24,1689
2014-07-25,1689
2014-07-26,1689
2014-07-27,56
2014-07-28,1690
2014-07-29,1690
2014-07-30,1691
2014-07-31,867
2014-08-01,1775
2014-08-02,1775
2014-08-03,543
2014-08-04,433
2014-08-05,1774
2014-08-06,456
2014-08-07,1775
2014-08-08,1775
2014-08-09,756
2014-08-10,1774
2014-08-11,45
2014-08-12,1774
2014-08-13,76
2014-08-14,1775
2014-08-15,567
2014-08-16,1774
2014-08-17,56
2014-08-18,1776
2014-08-19,346
2014-08-20,1775
2014-08-21,345
2014-08-22,1775
2014-08-23,45
2014-08-24,1776
2014-08-25,346
2014-08-26,1775
2014-08-27,1775
2014-08-28,45
2014-08-29,1776
2014-08-30,1776
2014-08-31,346
2014-09-01,1945
2014-09-02,786
2014-09-03,1946
2014-09-04,1946
2014-09-05,34
2014-09-06,1944
2014-09-07,1945
2014-09-08,654
2014-09-09,1945
2014-09-10,1946
2014-09-11,345
2014-09-12,1946
2014-09-13,456
2014-09-14,1945
2014-09-15,34
2014-09-16,1945
2014-09-17,345
2014-09-18,1946
2014-09-19,346
2014-09-20,1944
2014-09-21,98
2014-09-22,1946
2014-09-23,1946
2014-09-24,567
2014-09-25,1944
2014-09-26,345
2014-09-27,1945
2014-09-28,876
2014-09-29,24
2014-09-30,1946
2014-10-01,1800
2014-10-02,45
2014-10-03,1801
2014-10-04,1800
2014-10-05,9
2014-10-06,1800
2014-10-07,676
2014-10-08,1802
2014-10-09,546
2014-10-10,1802
2014-10-11,1802
2014-10-12,56
2014-10-13,1800
2014-10-14,789
2014-10-15,1801
2014-10-16,1801
2014-10-17,34
2014-10-18,1800
2014-10-19,1800
2014-10-20,56
2014-10-21,1801
2014-10-22,78
2014-10-23,1802
2014-10-24,1802
2014-10-25,546
2014-10-26,1802
2014-10-27,1800
2014-10-28,57
2014-10-29,57
2014-10-30,457
2014-10-31,1802
2014-11-01,1700
2014-11-02,1700
2014-11-03,1700
2014-11-04,235
2014-11-05,1701
2014-11-06,1701
2014-11-07,1699
2014-11-08,6
2014-11-09,1699
2014-11-10,1700
2014-11-11,34
2014-11-12,1700
2014-11-13,346
2014-11-14,1699
2014-11-15,1701
2014-11-16,1701
2014-11-17,1699
2014-11-18,1699
2014-11-19,34
2014-11-20,1700
2014-11-21,1700
2014-11-22,1700
2014-11-23,346
2014-11-24,1699
2014-11-25,1701
2014-11-26,1701
2014-11-27,435
2014-11-28,1699
2014-11-29,1701
2014-11-30,34
2014-12-01,1900
2014-12-02,1888
2014-12-03,1888
2014-12-04,45
2014-12-05,1889
2014-12-06,1900
2014-12-07,1900
2014-12-08,8
2014-12-09,1889
2014-12-10,656
2014-12-11,1889
2014-12-12,1889
2014-12-13,45
2014-12-14,1900
2014-12-15,1900
2014-12-16,456
2014-12-17,1901
2014-12-18,1901
2014-12-19,346
2014-12-20,1900
2014-12-21,1900
2014-12-22,345
2014-12-23,1888
2014-12-24,235
2014-12-25,1901
2014-12-26,1889
2014-12-27,877
2014-12-28,1900
2014-12-29,1900
2014-12-30,35
2014-12-31,1889
2015-01-01,1900
2015-01-02,1888
2015-01-03,1888
2015-01-04,1889
2015-01-05,546
2015-01-06,1900
2015-01-07,1900
2015-01-08,1900
2015-01-09,966
2015-01-10,1888
2015-01-11,345
2015-01-12,1889
2015-01-13,678
2015-01-14,1900
2015-01-15,765
2015-01-16,1901
2015-01-17,235
2015-01-18,1901
2015-01-19,878
2015-01-20,1900
2015-01-21,87
2015-01-22,1888
2015-01-23,435
2015-01-24,1901
2015-01-25,1901
2015-01-26,76
2015-01-27,1900
2015-01-28,1900
2015-01-29,435
2015-01-30,1889
2015-01-31,1889
2015-02-01,567
2015-02-02,2000
2015-02-03,2001
2015-02-04,543
2015-02-05,2001
2015-02-06,2000
2015-02-07,564
2015-02-08,2001
2015-02-09,2002
2015-02-10,876
2015-02-11,2002
2015-02-12,2000
2015-02-13,2000
2015-02-14,45
2015-02-15,2002
2015-02-16,78
2015-02-17,2002
2015-02-18,2001
2015-02-19,345
2015-02-20,2000
2015-02-21,678
2015-02-22,2002
2015-02-23,2002
2015-02-24,543
2015-02-25,2000
2015-02-26,2000
2015-02-27,23
2015-02-28,2001
2015-03-01,765
2015-03-02,1200
2015-03-03,1202
2015-03-04,654
2015-03-05,1201
2015-03-06,1201
2015-03-07,324
2015-03-08,1200
2015-03-09,1201
2015-03-10,786
2015-03-11,1202
2015-03-12,1200
2015-03-13,435
2015-03-14,1202
2015-03-15,1202
2015-03-16,535
2015-03-17,1202
2015-03-18,678
2015-03-19,1200
2015-03-20,43
2015-03-21,1201
2015-03-22,1201
2015-03-23,1200
2015-03-24,67
2015-03-25,1202
2015-03-26,98
2015-03-27,1202
2015-03-28,234
2015-03-29,1200
2015-03-30,568
2015-03-31,1201
2015-04-01,1700
2015-04-02,967
2015-04-03,1700
2015-04-04,1698
2015-04-05,345
2015-04-06,1698
2015-04-07,1699
2015-04-08,34
2015-04-09,1700
2015-04-10,1700
2015-04-11,787
2015-04-12,1699
2015-04-13,345
2015-04-14,1698
2015-04-15,1698
2015-04-16,1700
2015-04-17,1700
2015-04-18,1700
2015-04-19,54
2015-04-20,1699
2015-04-21,1698
2015-04-22,1698
2015-04-23,34
2015-04-24,1699
2015-04-25,1700
2015-04-26,1700
2015-04-27,1700
2015-04-28,76
2015-04-29,5
2015-04-30,1698
2015-05-01,1699
2015-05-02,34
2015-05-03,1700
2015-05-04,345
2015-05-05,1698
2015-05-06,454
2015-05-07,1700
2015-05-08,1699
2015-05-09,1699
2015-05-10,1700
2015-05-11,654
2015-05-12,1700
2015-05-13,1698
2015-05-14,1699
2015-05-15,678
2015-05-16,1699
2015-05-17,1700
2015-05-18,432
2015-05-19,1700
2015-05-20,1699
2015-05-21,1699
2015-05-22,456
2015-05-23,1698
2015-05-24,1698
2015-05-25,1700
2015-05-26,1699
2015-05-27,1699
2015-05-28,3432
2015-05-29,1698
2015-05-30,1698
2015-05-31,1700
2015-06-01,1730
2015-06-02,2345
2015-06-03,1730
2015-06-04,1731
2015-06-05,1731
2015-06-06,1732
2015-06-07,1730
2015-06-08,1730
2015-06-09,1730
2015-06-10,1732
2015-06-11,432
2015-06-12,1731
2015-06-13,1731
2015-06-14,1732
2015-06-15,342
2015-06-16,1730
2015-06-17,1730
2015-06-18,1731
2015-06-19,1731
2015-06-20,54
2015-06-21,1732
2015-06-22,1730
2015-06-23,1730
2015-06-24,1730
2015-06-25,1732
2015-06-26,345
2015-06-27,1731
2015-06-28,1730
2015-06-29,1730
2015-06-30,1730
2015-07-01,1732
2015-07-02,1701
2015-07-03,567
2015-07-04,1699
2015-07-05,1698
2015-07-06,78
2015-07-07,1700
2015-07-08,945
2015-07-09,1701
2015-07-10,1698
2015-07-11,1698
2015-07-12,45
2015-07-13,1700
2015-07-14,1700
2015-07-15,1698
2015-07-16,1699
2015-07-17,1699
2015-07-18,453
2015-07-19,1698
2015-07-20,1700
2015-07-21,1700
2015-07-22,1700
2015-07-23,345
2015-07-24,1698
2015-07-25,1698
2015-07-26,323
2015-07-27,1700
2015-07-28,1700
2015-07-29,1699
2015-07-30,768
2015-07-31,1698
2015-08-01,1700
2015-08-02,1700
2015-08-03,1700
2015-08-04,345
2015-08-05,1698
2015-08-06,1698
2015-08-07,1699
2015-08-08,34
2015-08-09,1700
2015-08-10,765
2015-08-11,1699
2015-08-12,1699
2015-08-13,1698
2015-08-14,1698
2015-08-15,1698
2015-08-16,67
2015-08-17,1700
2015-08-18,1700
2015-08-19,1699
2015-08-20,123
2015-08-21,1698
2015-08-22,1698
2015-08-23,1698
2015-08-24,234
2015-08-25,1700
2015-08-26,1700
2015-08-27,1700
2015-08-28,1698
2015-08-29,456
2015-08-30,1698
2015-08-31,1699
2015-09-01,989
2015-09-02,1700
2015-09-03,1700
2015-09-04,1698
2015-09-05,1698
2015-09-06,1700
2015-09-07,435
2015-09-08,1699
2015-09-09,1700
2015-09-10,1700
2015-09-11,1700
2015-09-12,1698
2015-09-13,1699
2015-09-14,345
2015-09-15,1699
2015-09-16,1700
2015-09-17,1700
2015-09-18,765
2015-09-19,1699
2015-09-20,1699
2015-09-21,1699
2015-09-22,324
2015-09-23,1698
2015-09-24,1700
2015-09-25,1699
2015-09-26,1699
2015-09-27,767
2015-09-28,1698
2015-09-29,1698
2015-09-30,1700
2015-10-01,356
2015-10-02,1730
2015-10-03,1730
2015-10-04,678
2015-10-05,1731
2015-10-06,1732
2015-10-07,45
2015-10-08,1730
2015-10-09,1730
2015-10-10,1732
2015-10-11,432
2015-10-12,1731
2015-10-13,1731
2015-10-14,1732
2015-10-15,456
2015-10-16,1730
2015-10-17,1730
2015-10-18,1731
2015-10-19,326
2015-10-20,1732
2015-10-21,1732
2015-10-22,1730
2015-10-23,234
2015-10-24,1730
2015-10-25,1732
2015-10-26,1731
2015-10-27,12
2015-10-28,1730
2015-10-29,1730
2015-10-30,345
2015-10-31,1732
2015-11-01,1712
2015-11-02,876
2015-11-03,1712
2015-11-04,1709
2015-11-05,1709
2015-11-06,1712
2015-11-07,23
2015-11-08,1712
2015-11-09,456
2015-11-10,1709
2015-11-11,1711
2015-11-12,765
2015-11-13,1712
2015-11-14,1712
2015-11-15,1709
2015-11-16,789
2015-11-17,1712
2015-11-18,1712
2015-11-19,654
2015-11-20,1711
2015-11-21,1711
2015-11-22,1712
2015-11-23,45
2015-11-24,1709
2015-11-25,1709
2015-11-26,543
2015-11-27,1711
2015-11-28,1712
2015-11-29,1712
2015-11-30,1712
2015-12-01,456
2015-12-02,1900
2015-12-03,1900
2015-12-04,543
2015-12-05,1902
2015-12-06,1902
2015-12-07,54
2015-12-08,1900
2015-12-09,1900
2015-12-10,678
2015-12-11,1902
2015-12-12,1902
2015-12-13,567
2015-12-14,1900
2015-12-15,1900
2015-12-16,657
2015-12-17,1902
2015-12-18,1902
2015-12-19,1902
2015-12-20,1900
2015-12-21,234
2015-12-22,1901
2015-12-23,1900
2015-12-24,1900
2015-12-25,876
2015-12-26,1902
2015-12-27,1902
2015-12-28,654
2015-12-29,1900
2015-12-30,1900
2015-12-31,456
2016-01-01,2075
2016-01-02,2075
2016-01-03,56
2016-01-04,2073
2016-01-05,2073
2016-01-06,987
2016-01-07,2073
2016-01-08,2075
2016-01-09,32
2016-01-10,2074
2016-01-11,2076
2016-01-12,2075
2016-01-13,45
2016-01-14,2075
2016-01-15,2074
2016-01-16,2074
2016-01-17,678
2016-01-18,2073
2016-01-19,2073
2016-01-20,765
2016-01-21,2073
2016-01-22,123
2016-01-23,2075
2016-01-24,2074
2016-01-25,2073
2016-01-26,456
2016-01-27,2074
2016-01-28,9
2016-01-29,876
2016-01-30,2075
2016-01-31,2074
2016-02-01,35
2016-02-02,2150
2016-02-03,2150
2016-02-04,2152
2016-02-05,345
2016-02-06,2153
2016-02-07,2150
2016-02-08,456
2016-02-09,2150
2016-02-10,2150
2016-02-11,2153
2016-02-12,765
2016-02-13,2150
2016-02-14,2150
2016-02-15,543
2016-02-16,2152
2016-02-17,123
2016-02-18,2153
2016-02-19,2153
2016-02-20,234
2016-02-21,2152
2016-02-22,2153
2016-02-23,2152
2016-02-24,54
2016-02-25,2150
2016-02-26,2150
2016-02-27,67
2016-02-28,2152
2016-02-29,2153
2016-03-01,98
2016-03-02,2250
2016-03-03,2250
2016-03-04,45
2016-03-05,2251
2016-03-06,76
2016-03-07,2250
2016-03-08,2250
2016-03-09,456
2016-03-10,2251
2016-03-11,2251
2016-03-12,876
2016-03-13,2250
2016-03-14,2250
2016-03-15,45
2016-03-16,2251
2016-03-17,87
2016-03-18,2252
2016-03-19,2250
2016-03-20,123
2016-03-21,2250
2016-03-22,2251
2016-03-23,2251
2016-03-24,987
2016-03-25,2251
2016-03-26,2251
2016-03-27,453
2016-03-28,2250
2016-03-29,2250
2016-03-30,2250
2016-03-31,355
2016-04-01,2250
2016-04-02,2250
2016-04-03,766
2016-04-04,2251
2016-04-05,2250
2016-04-06,2250
2016-04-07,345
2016-04-08,2252
2016-04-09,2251
2016-04-10,65
2016-04-11,2250
2016-04-12,2250
2016-04-13,2250
2016-04-14,2251
2016-04-15,33
2016-04-16,575
2016-04-17,2252
2016-04-18,2250
2016-04-19,2250
2016-04-20,1257
2016-04-21,2251
2016-04-22,2251
2016-04-23,2251
2016-04-24,1234
2016-04-25,2251
2016-04-26,2251
2016-04-27,2250
2016-04-28,1789
2016-04-29,2250
2016-04-30,2251
2016-05-01,102
2016-05-02,2300
2016-05-03,2301
2016-05-04,2302
2016-05-05,2301
2016-05-06,2300
2016-05-07,1000
2016-05-08,2302
2016-05-09,2303
2016-05-10,23
2016-05-11,2301
2016-05-12,2303
2016-05-13,97
2016-05-14,2300
2016-05-15,2300
2016-05-16,45
2016-05-17,2303
2016-05-18,2302
2016-05-19,645
2016-05-20,2300
2016-05-21,2300
2016-05-22,345
2016-05-23,2302
2016-05-24,2303
2016-05-25,547
2016-05-26,2302
2016-05-27,2300
2016-05-28,3457
2016-05-29,2301
2016-05-30,2302
2016-05-31,2302
2016-06-01,345
2016-06-02,2497
2016-06-03,657
2016-06-04,2498
2016-06-05,2498
2016-06-06,456
2016-06-07,2498
2016-06-08,2497
2016-06-09,766
2016-06-10,2500
2016-06-11,345
2016-06-12,2498
2016-06-13,2498
2016-06-14,1286
2016-06-15,2500
2016-06-16,2500
2016-06-17,2497
2016-06-18,1222
2016-06-19,2500
2016-06-20,2498
2016-06-21,2498
2016-06-22,2498
2016-06-23,2498
2016-06-24,2497
2016-06-25,2497
2016-06-26,2500
2016-06-27,1546
2016-06-28,2498
2016-06-29,2498
2016-06-30,2498
2016-07-01,988
2016-07-02,2302
2016-07-03,2301
2016-07-04,2302
2016-07-05,934
2016-07-06,2302
2016-07-07,900
2016-07-08,2302
2016-07-09,2303
2016-07-10,984
2016-07-11,2301
2016-07-12,2302
2016-07-13,2303
2016-07-14,2300
2016-07-15,345
2016-07-16,2301
2016-07-17,2302
2016-07-18,876
2016-07-19,934
2016-07-20,2300
2016-07-21,2302
2016-07-22,2301
2016-07-23,2302
2016-07-24,2303
2016-07-25,2302
2016-07-26,2302
2016-07-27,987
2016-07-28,2300
2016-07-29,2301
2016-07-30,2302
2016-07-31,234
2016-08-01,2454
2016-08-02,2454
2016-08-03,2454
2016-08-04,654
2016-08-05,2450
2016-08-06,2454
2016-08-07,2454
2016-08-08,2450
2016-08-09,345
2016-08-10,2452
2016-08-11,2452
2016-08-12,767
2016-08-13,2454
2016-08-14,2454
2016-08-15,2452
2016-08-16,654
2016-08-17,2450
2016-08-18,2450
2016-08-19,2453
2016-08-20,45
2016-08-21,2454
2016-08-22,2454
2016-08-23,2450
2016-08-24,345
2016-08-25,2450
2016-08-26,2452
2016-08-27,2452
2016-08-28,2346
2016-08-29,2454
2016-08-30,2454
2016-08-31,2450
2016-09-01,456
2016-09-02,2497
2016-09-03,234
2016-09-04,2500
2016-09-05,2500
2016-09-06,876
2016-09-07,2498
2016-09-08,965
2016-09-09,2497
2016-09-10,2500
2016-09-11,2500
2016-09-12,2500
2016-09-13,2498
2016-09-14,923
2016-09-15,2500
2016-09-16,2500
2016-09-17,1230
2016-09-18,2497
2016-09-19,2500
2016-09-20,1456
2016-09-21,2498
2016-09-22,2498
2016-09-23,2498
2016-09-24,1234
2016-09-25,2497
2016-09-26,2500
2016-09-27,2498
2016-09-28,1276
2016-09-29,980
2016-09-30,2500
2016-10-01,2560
2016-10-02,2560
2016-10-03,2560
2016-10-04,2569
2016-10-05,1234
2016-10-06,2569
2016-10-07,2565
2016-10-08,965
2016-10-09,2560
2016-10-10,2560
2016-10-11,2569
2016-10-12,2560
2016-10-13,2560
2016-10-14,934
2016-10-15,2569
2016-10-16,2565
2016-10-17,754
2016-10-18,2560
